Order_ID,Order_Date,Region,Product_Category,Product_Name,Quantity,Sales_Amount,Profit,Year,Month,Month_Name,YearMonth,Profit_Margin,Revenue_Tier
ORD-100000,2023-06-09,North,Office Supplies,Binder,4,35.8,9.52,2023,6,Jun,2023-06,26.59,Low
ORD-100001,2022-01-22,North,Food & Bev,Green Tea,3,13.14,6.64,2022,1,Jan,2022-01,50.53,Low
ORD-100002,2023-05-05,West,Office Supplies,Binder,3,20.49,7.28,2023,5,May,2023-05,35.53,Low
ORD-100003,2023-08-24,South,Office Supplies,Printer Paper,2,14.44,5.1,2023,8,Aug,2023-08,35.32,Low
ORD-100004,2024-01-26,West,Clothing,Dress Shirt,1,30.77,17.71,2024,1,Jan,2024-01,57.56,Low
ORD-100005,2022-05-24,North,Electronics,Smartphone,3,251.55,55.18,2022,5,May,2022-05,21.94,High
ORD-100006,2022-05-17,North,Electronics,Monitor,4,166.6,38.14,2022,5,May,2022-05,22.89,High
ORD-100007,2023-08-11,East,Furniture,Standing Desk,2,228.06,61.3,2023,8,Aug,2023-08,26.88,High
ORD-100008,2024-08-08,Central,Office Supplies,Pen Set,4,37.96,13.98,2024,8,Aug,2024-08,36.83,Low
ORD-100009,2023-05-02,South,Office Supplies,Printer Paper,1,5.55,1.85,2023,5,May,2023-05,33.33,Low
ORD-100010,2022-09-21,West,Clothing,T-Shirt,3,53.88,22.19,2022,9,Sep,2022-09,41.18,Mid
ORD-100011,2023-08-23,East,Electronics,Mouse,1,12.2,2.95,2023,8,Aug,2023-08,24.18,Low
ORD-100012,2023-12-26,East,Clothing,T-Shirt,1,17.56,8.19,2023,12,Dec,2023-12,46.64,Low
ORD-100013,2023-06-18,West,Clothing,Jacket,1,47.15,26.26,2023,6,Jun,2023-06,55.69,Low
ORD-100014,2022-08-03,Central,Food & Bev,Green Tea,1,5.17,1.73,2022,8,Aug,2022-08,33.46,Low
ORD-100015,2024-01-22,North,Clothing,T-Shirt,6,109.2,60.09,2024,1,Jan,2024-01,55.03,Mid
ORD-100016,2022-09-14,Central,Office Supplies,Printer Paper,2,14.56,4.54,2022,9,Sep,2022-09,31.18,Low
ORD-100017,2023-07-08,East,Electronics,Tablet,4,44.29,11.0725,2023,7,Jul,2023-07,25.0,Low
ORD-100018,2023-07-12,South,Electronics,Webcam,1,20.04,3.94,2023,7,Jul,2023-07,19.66,Low
ORD-100019,2023-03-01,South,Electronics,Monitor,8,410.56,90.17,2023,3,Mar,2023-03,21.96,High
ORD-100020,2024-05-10,North,Electronics,Mouse,3,38.73,7.39,2024,5,May,2024-05,19.08,Low
ORD-100021,2023-12-18,North,Clothing,Blazer,2,155.22,77.06,2023,12,Dec,2023-12,49.65,High
ORD-100022,2022-08-21,West,Clothing,Jacket,2,102.1,46.93,2022,8,Aug,2022-08,45.96,Mid
ORD-100023,2022-04-10,South,Electronics,Laptop,1,112.89,27.48,2022,4,Apr,2022-04,24.34,Mid
ORD-100024,2024-06-19,South,Clothing,Boots,3,153.21,64.26,2024,6,Jun,2024-06,41.94,High
ORD-100025,2023-10-06,South,Electronics,Tablet,1,75.97,14.29,2023,10,Oct,2023-10,18.81,Mid
ORD-100026,2024-04-09,East,Furniture,Office Chair,1,71.41,22.17,2024,4,Apr,2024-04,31.05,Mid
ORD-100027,2023-09-24,South,Electronics,Laptop,3,488.94,125.63,2023,9,Sep,2023-09,25.69,High
ORD-100028,2022-09-04,North,Clothing,Jacket,5,44.29,11.0725,2022,9,Sep,2022-09,25.0,Low
ORD-100029,2023-01-02,North,Clothing,Jacket,1,49.36,24.24,2023,1,Jan,2023-01,49.11,Low
ORD-100030,2023-10-04,South,Electronics,Monitor,2,94.88,25.25,2023,10,Oct,2023-10,26.61,Mid
ORD-100031,2023-05-01,North,Electronics,Mouse,2,23.26,6.57,2023,5,May,2023-05,28.25,Low
ORD-100032,2023-11-18,West,Clothing,T-Shirt,2,33.28,12.24,2023,11,Nov,2023-11,36.78,Low
ORD-100033,2024-05-18,North,Clothing,Sneakers,3,139.44,79.84,2024,5,May,2024-05,57.26,Mid
ORD-100034,2024-03-09,North,Clothing,Sneakers,6,312.78,179.9,2024,3,Mar,2024-03,57.52,High
ORD-100035,2024-02-29,North,Food & Bev,Sparkling Water,1,2.14,0.8,2024,2,Feb,2024-02,37.38,Low
ORD-100036,2024-04-03,North,Clothing,Blazer,3,233.19,106.09,2024,4,Apr,2024-04,45.5,High
ORD-100037,2024-01-28,West,Electronics,Mouse,3,36.42,9.5,2024,1,Jan,2024-01,26.08,Low
ORD-100038,2023-11-04,Central,Electronics,Mouse,2,25.82,6.19,2023,11,Nov,2023-11,23.97,Low
ORD-100039,2023-06-13,South,Office Supplies,Stapler,2,21.42,5.41,2023,6,Jun,2023-06,25.26,Low
ORD-100040,2022-10-03,East,Food & Bev,Granola Mix,1,5.2,1.91,2022,10,Oct,2022-10,36.73,Low
ORD-100041,2023-07-19,West,Electronics,Mouse,1,13.56,2.18,2023,7,Jul,2023-07,16.08,Low
ORD-100042,2023-05-04,North,Clothing,Boots,1,70.75,23.07,2023,5,May,2023-05,32.61,Mid
ORD-100043,2023-10-25,West,Clothing,Sneakers,1,46.65,20.09,2023,10,Oct,2023-10,43.07,Low
ORD-100044,2024-06-15,Central,Electronics,Smartphone,2,153.26,27.3,2024,6,Jun,2024-06,17.81,High
ORD-100045,2023-08-08,East,Electronics,Mouse,3,37.65,6.04,2023,8,Aug,2023-08,16.04,Low
ORD-100046,2024-09-11,North,Clothing,Dress Shirt,2,62.4,24.9,2024,9,Sep,2024-09,39.9,Mid
ORD-100047,2023-09-29,North,Food & Bev,Green Tea,4,24.28,9.51,2023,9,Sep,2023-09,39.17,Low
ORD-100048,2023-07-02,Central,Furniture,Standing Desk,5,435.35,164.57,2023,7,Jul,2023-07,37.8,High
ORD-100049,2024-06-24,North,Food & Bev,Sparkling Water,1,2.28,0.96,2024,6,Jun,2024-06,42.11,Low
ORD-100050,2024-02-06,East,Office Supplies,Notebook,1,12.15,4.57,2024,2,Feb,2024-02,37.61,Low
ORD-100051,2023-10-21,North,Furniture,Bookshelf,1,31.34,7.11,2023,10,Oct,2023-10,22.69,Low
ORD-100052,2022-09-24,South,Electronics,Smartphone,4,275.36,52.65,2022,9,Sep,2022-09,19.12,High
ORD-100053,2022-11-23,West,Food & Bev,Energy Drink,5,17.7,6.15,2022,11,Nov,2022-11,34.75,Low
ORD-100054,2023-03-28,West,Electronics,Mouse,10,124.3,31.88,2023,3,Mar,2023-03,25.65,Mid
ORD-100055,2023-07-05,East,Food & Bev,Green Tea,4,23.8,11.82,2023,7,Jul,2023-07,49.66,Low
ORD-100056,2023-04-07,South,Electronics,Webcam,1,17.48,4.65,2023,4,Apr,2023-04,26.6,Low
ORD-100057,2023-08-30,West,Office Supplies,Highlighters,2,10.72,2.83,2023,8,Aug,2023-08,26.4,Low
ORD-100058,2024-08-28,North,Office Supplies,Stapler,6,86.52,38.11,2024,8,Aug,2024-08,44.05,Mid
ORD-100059,2024-02-22,West,Furniture,Sofa,2,186.82,62.37,2024,2,Feb,2024-02,33.39,High
ORD-100060,2022-10-24,West,Electronics,Headphones,2,47.5,12.91,2022,10,Oct,2022-10,27.18,Low
ORD-100061,2024-05-09,South,Food & Bev,Sparkling Water,3,7.44,2.51,2024,5,May,2024-05,33.74,Low
ORD-100062,2023-01-21,South,Food & Bev,Green Tea,3,15.99,7.18,2023,1,Jan,2023-01,44.9,Low
ORD-100063,2023-12-23,East,Clothing,Boots,1,56.78,29.25,2023,12,Dec,2023-12,51.51,Mid
ORD-100064,2024-03-25,West,Electronics,Keyboard,3,69.27,13.28,2024,3,Mar,2024-03,19.17,Mid
ORD-100065,2024-06-01,West,Food & Bev,Granola Mix,8,52.8,15.33,2024,6,Jun,2024-06,29.03,Mid
ORD-100066,2023-02-24,South,Office Supplies,Binder,3,21.21,6.16,2023,2,Feb,2023-02,29.04,Low
ORD-100067,2022-07-06,West,Electronics,Headphones,2,59.08,16.57,2022,7,Jul,2022-07,28.05,Mid
ORD-100068,2023-02-04,South,Office Supplies,Printer Paper,1,6.85,2.01,2023,2,Feb,2023-02,29.34,Low
ORD-100069,2023-08-30,South,Food & Bev,Coffee Beans,2,20.74,7.85,2023,8,Aug,2023-08,37.85,Low
ORD-100070,2023-05-16,Central,Food & Bev,Sparkling Water,4,10.2,4.36,2023,5,May,2023-05,42.75,Low
ORD-100071,2022-10-28,North,Furniture,Bookshelf,1,35.68,13.83,2022,10,Oct,2022-10,38.76,Low
ORD-100072,2023-05-14,South,Food & Bev,Energy Drink,8,29.52,11.59,2023,5,May,2023-05,39.26,Low
ORD-100073,2023-08-02,North,Electronics,Headphones,5,152.0,43.4,2023,8,Aug,2023-08,28.55,High
ORD-100074,2024-07-17,Central,Food & Bev,Sparkling Water,4,7.68,2.39,2024,7,Jul,2024-07,31.12,Low
ORD-100075,2023-10-14,South,Food & Bev,Green Tea,3,16.92,5.2,2023,10,Oct,2023-10,30.73,Low
ORD-100076,2024-04-02,West,Furniture,Lamp,2,49.34,15.34,2024,4,Apr,2024-04,31.09,Low
ORD-100077,2022-12-24,North,Electronics,Laptop,1,154.68,38.2,2022,12,Dec,2022-12,24.7,High
ORD-100078,2023-04-02,South,Office Supplies,Notebook,3,30.81,13.4,2023,4,Apr,2023-04,43.49,Low
ORD-100079,2023-06-09,Central,Electronics,Mouse,1,13.03,3.38,2023,6,Jun,2023-06,25.94,Low
ORD-100080,2022-12-20,West,Electronics,Smartphone,1,69.65,13.92,2022,12,Dec,2022-12,19.99,Mid
ORD-100081,2023-09-23,North,Clothing,T-Shirt,1,13.61,4.8,2023,9,Sep,2023-09,35.27,Low
ORD-100082,2022-06-06,Central,Office Supplies,Pen Set,2,18.4,5.25,2022,6,Jun,2022-06,28.53,Low
ORD-100083,2022-12-18,South,Food & Bev,Energy Drink,1,2.67,1.04,2022,12,Dec,2022-12,38.95,Low
ORD-100084,2022-08-10,East,Furniture,Office Chair,3,143.16,46.24,2022,8,Aug,2022-08,32.3,Mid
ORD-100085,2024-10-01,South,Clothing,Boots,1,68.24,32.5,2024,10,Oct,2024-10,47.63,Mid
ORD-100086,2023-11-12,South,Furniture,Filing Cabinet,2,71.18,18.18,2023,11,Nov,2023-11,25.54,Mid
ORD-100087,2023-11-30,North,Clothing,Boots,5,277.6,95.3,2023,11,Nov,2023-11,34.33,High
ORD-100088,2023-03-30,East,Office Supplies,Notebook,4,35.6,10.47,2023,3,Mar,2023-03,29.41,Low
ORD-100089,2023-08-03,South,Electronics,Monitor,3,127.89,32.13,2023,8,Aug,2023-08,25.12,Mid
ORD-100090,2023-04-07,North,Electronics,Monitor,1,40.54,9.3,2023,4,Apr,2023-04,22.94,Low
ORD-100091,2022-11-07,West,Food & Bev,Granola Mix,1,5.37,1.82,2022,11,Nov,2022-11,33.89,Low
ORD-100092,2023-05-11,South,Clothing,Blazer,1,75.21,34.34,2023,5,May,2023-05,45.66,Mid
